"firm_name","n_offres","avg_req_exp","top_skill_req","avg_wage","sector_main","addr_dept_main"
"loc maria biscuits",2,7,"collaboration",NA,"Industrie Agro-alimentaire",22
"louvre hotels",1,NA,"tableau",NA,NA,92
"lr technologies nord",2,1,"collaboration",42500,"Services aux Entreprises, Secteur informatique, ESN",59
"lsa courtage",44,NA,"rapport",NA,NA,92
"lydia",44,NA,"tableau",NA,NA,75
"lynx rh",1,NA,"git",NA,"Services aux Entreprises",49
"maestria",2,1,"équipe",46500,"Services aux Entreprises",6
"magasins vert   point vert",1,0,"git",NA,"Distribution, Commerce de gros",29
"maif",2,NA,"équipe",NA,NA,79
"malakoff humanis",4,NA,"rigueur",NA,NA,75
"malt",1,0,"communication",NA,"Services aux Entreprises",75
"managing",2,NA,"anglais",NA,"Services aux Entreprises",67
"mane",2,NA,"programmation",NA,"Industrie Pétrolière, Pétrochimie",6
"manutan",2,NA,"équipe",NA,"Média, Internet, Communication",95
"marcel robbez masson",1,NA,"anglais",40200,NA,34
"margo conseil",1,NA,"deep learning",NA,NA,75
"maser engineering",2,1,NA,32500,"Services aux Entreprises",31
"matmut",2,1,"deep learning",NA,"Banque, Assurance, Finance",76
"mazars",3,7,"équipe",NA,"Secteur informatique, ESN",92
"mbda",1,NA,"python",NA,NA,18
"mbr partners",1,NA,"excel",NA,NA,75
"meetic",1,NA,"deep learning",NA,"Média, Internet, Communication",75
"meilleurtaux",1,NA,"adaptabilité",NA,"Banque, Assurance, Finance, Média, Internet, Communication",75
"meritis",3,NA,"équipe",NA,"Secteur informatique, ESN",75
"meta",2,NA,"deep learning",NA,NA,75
"metrixx",1,NA,"reporting",NA,NA,69
"metyis",1,NA,"git",NA,NA,75
"mfg labs",44,NA,"r studio",NA,NA,77
"mgen",1,NA,"power bi",NA,NA,75
"michael page",12,0,"équipe",56450,"Services aux Entreprises",92
"michelin",5,0,"équipe",16260,NA,63
"million victories",7,NA,"programming",NA,NA,NA
"mirakl",6,NA,"deep learning",NA,"Média, Internet, Communication, Secteur informatique, ESN",33
"mobilize financial services",1,1,"google cloud",NA,"Banque, Assurance, Finance, Industrie Auto, Meca, Navale",93
"mon marchefr",1,NA,"tableau",NA,NA,69
"monabanq",1,NA,"sql",10056,NA,59
"mondial relay",1,7,"tableau",NA,"Transport, Logistique",59
"morgan philips executive search",2,7,"collaboration",NA,"Industrie Pharmaceutique, Biotechn., Chimie",92
"mosica",2,1,"spark",NA,"Secteur informatique, ESN",44
"mp data",38,2.5,"git",51057.3529411765,NA,NA
"msd",2,NA,"collaboration",NA,NA,75
"mydral",5,7,"équipe",54875,"Secteur informatique, ESN",75
"nantes universite",1,NA,"équipe",34002,NA,44
"natixis sa",2,NA,"collaboration",NA,NA,75
"nature et decouvertes",1,NA,"optimisation",NA,NA,78
"nava engineering",1,7,"hadoop",48000,"Industrie Aéronautique, Aérospatial, Secteur informatique, ESN",31
"neo soft",1,NA,"python",NA,NA,75
"neoxia",2,NA,"deep learning",NA,"Secteur informatique, ESN",75
"nestle operational services worldwide sa",3,NA,"équipe",NA,NA,75
"nexoris",1,NA,"équipe",123375,NA,75
"nexteam group",1,NA,"équipe",NA,NA,64
